Geography Name,County FIPS,County Name,Place FIPS,Total Population,Population Density (Per Sq. Mile),Area (Land),Living in Poverty,At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk,Application Number,Project Title,Project Description ,Applicant,Applicant Type,Project Type,Application Date,State Agency Requested for Funding,Funding Request ($),Total Project Budget ($),Funding Decision Year,Award Date,Grant Award ($),Encumbered ($),City/Town
Bent Creek CDP,21,Buncombe,3705049,1652,747.6,2.21,0,456,974,46,928,217,19,198,61,0.24,,,,17,Swannanoa River Road Flood Mitigation and Damage Reduction Feasibility Study,"The Swannanoa River floodplains between South Tunnel Road and Biltmore Avenue and Hendersonville Road in Asheville experience frequent flooding resulting in closure of Swannanoa River Road, property damage, disruption of emergency service access, and increased wastewater treatment costs due to sanitary sewer overflows. Swannanoa River Road serves as the principal east-west corridor for emergency services and access to Mission Hospital and Mission Children's Hospital. Golden LEAF flood mitigation grant funds will be used to evaluate the flood mitigation and flood damage reduction benefits of potential actions through hydrologic and hydraulic modeling, updating the Structure Inventory Database, developing a conceptual plan and feasibility analysis, and implementation cost estimates for the potential floodplain modifications. NCDOT State Transportation Improvement Program has allocated $48M for Swannanoa River Roadway corridor modernization in future years. The City will also pursue FEMA Flood Mitigation and Building Resilient Infrastructure and Communities funding for buyouts and floodplain restoration. City and County Metropolitan Sewerage District capital improvement funds can be used for utility relocations in the corridor. Businesses and households in the area will benefit from this project.",City of Asheville,Local Government,Planning,4/22/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,150000,150000,Asheville
Bermuda Run town,59,Davie,3705135,2688,1077.2,2.5,0,339,978,0,978,1270,0,1270,76,0.4,0.59,17.08,17.67,,,,,,,,,,,,,,,
Bessemer City city,71,Gaston,3705220,5536,1059.5,5.23,232,932,3719,440,3279,653,66,587,68,0.7,0.29,1.59,1.88,,,,,,,,,,,,,,,
Bethania town,67,Forsyth,3705340,351,517.3,0.68,0,24,207,33,174,120,0,120,62,0.35,2.85,30.1,32.95,18,Thomas Drake Ct Project,"The Town of Kernersville discovered a sizable hole and longitudinal fractures during inspection of the culvert crossing on Thomas Drake Court. Failure of the culvert would lead to the development of a sinkhole, loss of the road, area flooding and potential property damage for residents. Loss of the road would also prevent access for emergency services. An existing sewer line could also be undermined causing failure resulting in loss of services as well as wastewater entering the channel. Golden LEAF flood mitigation grant funds will be used to replace the existing damaged culvert. The project will include removal of the failing corrugated metal pipe and replace it with reinforced concrete pipe (RCP). The culvert will be extended upstream of the crossing. The extension will provide protection to the adjacent sewer line. Downstream of the culvert crossing, two driveway culvert crossings will be abandoned in place and the new RCP installed with tie-in to the proposed headwall. Stream realignment and stabilization grading both upstream and downstream will better direct flow and prevent further erosion. Households located in the immediate project area in the section of Thomas Drake Court from the culvert crossing northward to the cul-de-sac will directly benefit from this project.",Town of Kernersville,Local Government,Infrastructure,5/20/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Kernersville
Bethel town,147,Pitt,3705460,1987,1888.1,1.05,108,289,1127,192,935,463,88,375,57,0.65,0.02,0,0.02,,,,,,,,,,,,,,,
Bethlehem CDP,3,Alexander,3705530,3959,519.2,7.62,54,563,2354,171,2183,988,62,926,62,0.28,0.01,15.57,15.58,,,,,,,,,,,,,,,
Beulaville town,61,Duplin,3705660,1666,1078.8,1.54,113,239,981,285,696,329,38,291,48,0.71,,,,1,Flood mitigation Currie/Duplin street,"The stormwater drainage canal located between Duplin and Currie Streets in Wallace experiences flooding during major storms and periods of heavy rainfall occurring within a short period of time. Continued flooding has resulted in caving in and widening of the canal which is now in danger of undermining nearby houses. Previous efforts by the Town to haul in dirt to shore up the bank have not provided a viable long term solution. Golden LEAF flood mitigation grant funds will be used to install sheet piling and rip rap along the bank to stop erosion, improve the transport of stormwater, and significantly reduce flooding along the canal. This canal carries one third of total stormwater for the town and connects downstream to the main branch of Little Rockfish Creek, which is the town’s main drainage area. There are two households in the immediate project area. The flooding and erosion also threaten a main sewer line that crosses over and runs parallel to the canal,  and which must be inspected for damage and exposure after each heavy rain event.
",Town of Wallace,Local Government,Infrastructure,2/22/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,Wallace
Biltmore Forest town,21,Buncombe,3705880,1679,577,2.91,15,385,789,19,770,490,9,481,77,0.03,0.11,3.89,4,17,Swannanoa River Road Flood Mitigation and Damage Reduction Feasibility Study,"The Swannanoa River floodplains between South Tunnel Road and Biltmore Avenue and Hendersonville Road in Asheville experience frequent flooding resulting in closure of Swannanoa River Road, property damage, disruption of emergency service access, and increased wastewater treatment costs due to sanitary sewer overflows. Swannanoa River Road serves as the principal east-west corridor for emergency services and access to Mission Hospital and Mission Children's Hospital. Golden LEAF flood mitigation grant funds will be used to evaluate the flood mitigation and flood damage reduction benefits of potential actions through hydrologic and hydraulic modeling, updating the Structure Inventory Database, developing a conceptual plan and feasibility analysis, and implementation cost estimates for the potential floodplain modifications. NCDOT State Transportation Improvement Program has allocated $48M for Swannanoa River Roadway corridor modernization in future years. The City will also pursue FEMA Flood Mitigation and Building Resilient Infrastructure and Communities funding for buyouts and floodplain restoration. City and County Metropolitan Sewerage District capital improvement funds can be used for utility relocations in the corridor. Businesses and households in the area will benefit from this project.",City of Asheville,Local Government,Planning,4/22/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,150000,150000,Asheville
Biscoe town,123,Montgomery,3706000,2722,1010.5,2.69,432,448,1307,344,963,340,54,286,55,0.81,0,3.16,3.16,,,,,,,,,,,,,,,
Black Creek town,195,Wilson,3706080,932,1314,0.71,89,142,554,75,479,138,14,124,58,0.58,0.1,1.95,2.05,,,,,,,,,,,,,,,
Black Mountain town,21,Buncombe,3706140,8177,1218.3,6.71,20,979,3957,219,3738,2997,72,2925,71,0.45,1.24,12.37,13.61,17,Swannanoa River Road Flood Mitigation and Damage Reduction Feasibility Study,"The Swannanoa River floodplains between South Tunnel Road and Biltmore Avenue and Hendersonville Road in Asheville experience frequent flooding resulting in closure of Swannanoa River Road, property damage, disruption of emergency service access, and increased wastewater treatment costs due to sanitary sewer overflows. Swannanoa River Road serves as the principal east-west corridor for emergency services and access to Mission Hospital and Mission Children's Hospital. Golden LEAF flood mitigation grant funds will be used to evaluate the flood mitigation and flood damage reduction benefits of potential actions through hydrologic and hydraulic modeling, updating the Structure Inventory Database, developing a conceptual plan and feasibility analysis, and implementation cost estimates for the potential floodplain modifications. NCDOT State Transportation Improvement Program has allocated $48M for Swannanoa River Roadway corridor modernization in future years. The City will also pursue FEMA Flood Mitigation and Building Resilient Infrastructure and Communities funding for buyouts and floodplain restoration. City and County Metropolitan Sewerage District capital improvement funds can be used for utility relocations in the corridor. Businesses and households in the area will benefit from this project.",City of Asheville,Local Government,Planning,4/22/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,150000,150000,Asheville
Bladenboro town,17,Bladen,3706240,2063,931.3,2.22,146,430,1176,254,922,311,44,267,56,0.69,0.39,18.21,18.6,7,"Elizabethtown Stormwater Master Plan and Assessment, Phase 1","Elizabethtown experiences frequent flooding with more noticeable impacts in its central subbasin, eastern subbasin, and along Glenwood Drive in the western part of the town. The town is characterized by fairly flat, low-lying topography, which causes floodwaters to stand longer. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Master Plan. Components of this project include updating the town’s asset inventory, field data collection, modeling of existing watersheds, development of concept plans, and a summary report that will include recommendations. As this is a town-wide project, the benefiting population includes all households and public and private entities in the town.",Town of Elizabethtown,Local Government,Planning,3/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,132000,132000,Elizabethtown
Blowing Rock town,"189, 27","Watauga, Caldwell",3706500,1149,354.6,3.24,0,32,637,29,608,443,10,433,,0.12,0.23,3.52,3.75,,,,,,,,,,,,,,,
Blue Clay Farms CDP,129,New Hanover,3706510,52,21.3,2.44,0,11,41,0,41,0,0,0,,0.43,1.76,14.07,15.84,,,,,,,,,,,,,,,
Boardman town,47,Columbus,3706660,315,102,3.09,1,19,251,19,232,36,5,31,46,0.86,1.52,36.11,37.63,14,Hickman Road Flood Mitigation,The Town of Tabor City reports that the existing drainage ditch running perpendicular to Hickman Road in the southern part of town is prone to frequent flooding during heavy rain events. Streets and residential properties in the area are often left flooded for extended periods of time. Golden LEAF flood mitigation grant funds will be used to install infrastructure to enclose the ditch and improve drainage to eliminate flooding in the area. An exposed water line running along the slope of the ditch will be abandoned and water services will be reconnected to existing water lines located upstream. Households and vehicles traveling on adjacent roads in the immediate project area will benefit from this project.,Town of Tabor City,Local Government,Infrastructure,5/10/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,175000,175000,Tabor City
Bogue town,31,Carteret,3706740,884,321.9,2.75,2,200,530,26,504,152,0,152,59,0.18,4.59,21.48,26.07,,,,,,,,,,,,,,,
